schedule,position,delay_ms,repetition,seed,role
abrupt_shift,1,0,1,,validation
abrupt_shift,2,1,1,,validation
abrupt_shift,3,2,1,,validation
abrupt_shift,4,5,1,,validation
abrupt_shift,5,10,1,,validation
abrupt_shift,6,0,2,,validation
abrupt_shift,7,1,2,,validation
abrupt_shift,8,2,2,,validation
abrupt_shift,9,5,2,,validation
abrupt_shift,10,10,2,,validation
abrupt_shift,11,0,3,,validation
abrupt_shift,12,1,3,,validation
abrupt_shift,13,2,3,,validation
abrupt_shift,14,5,3,,validation
abrupt_shift,15,10,3,,validation
abrupt_shift,16,25,1,,validation
abrupt_shift,17,30,1,,validation
abrupt_shift,18,35,1,,validation
abrupt_shift,19,40,1,,validation
abrupt_shift,20,30,2,,validation
abrupt_shift,21,25,2,,validation
abrupt_shift,22,30,3,,validation
abrupt_shift,23,35,2,,validation
abrupt_shift,24,40,2,,validation
abrupt_shift,25,30,4,,validation
abrupt_shift,26,25,3,,validation
abrupt_shift,27,30,5,,validation
abrupt_shift,28,35,3,,validation
abrupt_shift,29,40,3,,validation
abrupt_shift,30,30,6,,validation
abrupt_shift,31,10,4,,validation
abrupt_shift,32,5,4,,validation
abrupt_shift,33,2,4,,validation
abrupt_shift,34,1,4,,validation
abrupt_shift,35,0,4,,validation
abrupt_shift,36,10,5,,validation
abrupt_shift,37,5,5,,validation
abrupt_shift,38,2,5,,validation
abrupt_shift,39,1,5,,validation
abrupt_shift,40,0,5,,validation
abrupt_shift,41,10,6,,validation
abrupt_shift,42,5,6,,validation
abrupt_shift,43,2,6,,validation
abrupt_shift,44,1,6,,validation
abrupt_shift,45,0,6,,validation
