schedule,position,delay_ms,repetition,seed,role
calibration_seed77,1,1,1,77,calibration
calibration_seed77,2,15,1,77,calibration
calibration_seed77,3,10,1,77,calibration
calibration_seed77,4,0,1,77,calibration
calibration_seed77,5,5,1,77,calibration
calibration_seed77,6,35,1,77,calibration
calibration_seed77,7,20,1,77,calibration
calibration_seed77,8,0,2,77,calibration
calibration_seed77,9,1,2,77,calibration
calibration_seed77,10,2,1,77,calibration
calibration_seed77,11,2,2,77,calibration
calibration_seed77,12,15,2,77,calibration
calibration_seed77,13,10,2,77,calibration
calibration_seed77,14,40,1,77,calibration
calibration_seed77,15,25,1,77,calibration
calibration_seed77,16,35,2,77,calibration
calibration_seed77,17,5,2,77,calibration
calibration_seed77,18,30,1,77,calibration
calibration_seed77,19,25,2,77,calibration
calibration_seed77,20,20,2,77,calibration
calibration_seed77,21,40,2,77,calibration
calibration_seed77,22,30,2,77,calibration
