schedule,position,delay_ms,repetition,seed,role
up_down,1,0,1,,validation
up_down,2,1,1,,validation
up_down,3,2,1,,validation
up_down,4,5,1,,validation
up_down,5,10,1,,validation
up_down,6,15,1,,validation
up_down,7,20,1,,validation
up_down,8,25,1,,validation
up_down,9,30,1,,validation
up_down,10,35,1,,validation
up_down,11,40,1,,validation
up_down,12,35,2,,validation
up_down,13,30,2,,validation
up_down,14,25,2,,validation
up_down,15,20,2,,validation
up_down,16,15,2,,validation
up_down,17,10,2,,validation
up_down,18,5,2,,validation
up_down,19,2,2,,validation
up_down,20,1,2,,validation
up_down,21,0,2,,validation
up_down,22,0,3,,validation
up_down,23,1,3,,validation
up_down,24,2,3,,validation
up_down,25,5,3,,validation
up_down,26,10,3,,validation
up_down,27,15,3,,validation
up_down,28,20,3,,validation
up_down,29,25,3,,validation
up_down,30,30,3,,validation
up_down,31,35,3,,validation
up_down,32,40,2,,validation
up_down,33,35,4,,validation
up_down,34,30,4,,validation
up_down,35,25,4,,validation
up_down,36,20,4,,validation
up_down,37,15,4,,validation
up_down,38,10,4,,validation
up_down,39,5,4,,validation
up_down,40,2,4,,validation
up_down,41,1,4,,validation
up_down,42,0,4,,validation
