sample_id,per_direction_delay_ms,repetition,ops_rtt_avg_ms,twin_rtt_avg_ms,rtt_residual_ms,ops_packet_loss_percent,twin_packet_loss_percent,operational_unsafe_latency,twin_predicted_safe_latency
20260803T122007Z-delay-0ms-rep-1,0.0,1,0.149,0.149,0.0,0.0,0.0,False,True
20260803T122014Z-delay-0ms-rep-2,0.0,2,0.146,0.135,0.010999999999999982,0.0,0.0,False,True
20260803T122022Z-delay-0ms-rep-3,0.0,3,0.156,0.163,-0.007000000000000006,0.0,0.0,False,True
20260803T122029Z-delay-0ms-rep-4,0.0,4,0.13,0.162,-0.032,0.0,0.0,False,True
20260803T122036Z-delay-0ms-rep-5,0.0,5,0.158,0.126,0.032,0.0,0.0,False,True
20260803T122044Z-delay-1ms-rep-1,1.0,1,6.286,0.16,6.1259999999999994,0.0,0.0,False,True
20260803T122051Z-delay-1ms-rep-2,1.0,2,5.965,0.173,5.792,0.0,0.0,False,True
20260803T122058Z-delay-1ms-rep-3,1.0,3,5.898,0.173,5.725,0.0,0.0,False,True
20260803T122106Z-delay-1ms-rep-4,1.0,4,5.889,0.148,5.7410000000000005,0.0,0.0,False,True
20260803T122113Z-delay-1ms-rep-5,1.0,5,5.575,0.139,5.436,0.0,0.0,False,True
20260803T122120Z-delay-2ms-rep-1,2.0,1,6.741,0.157,6.584,0.0,0.0,False,True
20260803T122128Z-delay-2ms-rep-2,2.0,2,6.976,0.177,6.799,0.0,0.0,False,True
20260803T122135Z-delay-2ms-rep-3,2.0,3,7.102,0.131,6.971,0.0,0.0,False,True
20260803T122142Z-delay-2ms-rep-4,2.0,4,6.981,0.146,6.835,0.0,0.0,False,True
20260803T122150Z-delay-2ms-rep-5,2.0,5,7.008,0.162,6.846,0.0,0.0,False,True
20260803T122157Z-delay-5ms-rep-1,5.0,1,12.529,0.136,12.393,0.0,0.0,False,True
20260803T122204Z-delay-5ms-rep-2,5.0,2,12.296,0.165,12.131,0.0,0.0,False,True
20260803T122212Z-delay-5ms-rep-3,5.0,3,12.226,0.134,12.092,0.0,0.0,False,True
20260803T122219Z-delay-5ms-rep-4,5.0,4,12.301,0.148,12.153,0.0,0.0,False,True
20260803T122227Z-delay-5ms-rep-5,5.0,5,12.567,0.163,12.404,0.0,0.0,False,True
20260803T122234Z-delay-10ms-rep-1,10.0,1,23.972,0.125,23.847,0.0,0.0,False,True
20260803T122241Z-delay-10ms-rep-2,10.0,2,23.511,0.157,23.354,0.0,0.0,False,True
20260803T122249Z-delay-10ms-rep-3,10.0,3,24.161,0.131,24.03,0.0,0.0,False,True
20260803T122256Z-delay-10ms-rep-4,10.0,4,24.225,0.152,24.073,0.0,0.0,False,True
20260803T122303Z-delay-10ms-rep-5,10.0,5,24.096,0.161,23.935,0.0,0.0,False,True
20260803T122311Z-delay-15ms-rep-1,15.0,1,34.635,0.155,34.48,0.0,0.0,False,True
20260803T122318Z-delay-15ms-rep-2,15.0,2,34.833,0.157,34.676,0.0,0.0,False,True
20260803T122325Z-delay-15ms-rep-3,15.0,3,35.594,0.164,35.43,0.0,0.0,False,True
20260803T122333Z-delay-15ms-rep-4,15.0,4,35.582,0.167,35.415,0.0,0.0,False,True
20260803T122340Z-delay-15ms-rep-5,15.0,5,34.857,0.163,34.694,0.0,0.0,False,True
20260803T122347Z-delay-20ms-rep-1,20.0,1,46.893,0.149,46.744,0.0,0.0,False,True
20260803T122355Z-delay-20ms-rep-2,20.0,2,47.017,0.165,46.852000000000004,0.0,0.0,False,True
20260803T122402Z-delay-20ms-rep-3,20.0,3,45.596,0.139,45.456999999999994,0.0,0.0,False,True
20260803T122409Z-delay-20ms-rep-4,20.0,4,47.29,0.165,47.125,0.0,0.0,False,True
20260803T122417Z-delay-20ms-rep-5,20.0,5,46.304,0.149,46.155,0.0,0.0,False,True
20260803T122424Z-delay-25ms-rep-1,25.0,1,55.49,0.15,55.34,0.0,0.0,True,True
20260803T122432Z-delay-25ms-rep-2,25.0,2,58.567,0.154,58.413,0.0,0.0,True,True
20260803T122439Z-delay-25ms-rep-3,25.0,3,56.668,0.16,56.508,0.0,0.0,True,True
20260803T122446Z-delay-25ms-rep-4,25.0,4,56.999,0.166,56.833000000000006,0.0,0.0,True,True
20260803T122454Z-delay-25ms-rep-5,25.0,5,56.28,0.159,56.121,0.0,0.0,True,True
20260803T122501Z-delay-30ms-rep-1,30.0,1,66.89,0.165,66.725,0.0,0.0,True,True
20260803T122509Z-delay-30ms-rep-2,30.0,2,66.61,0.148,66.462,0.0,0.0,True,True
20260803T122516Z-delay-30ms-rep-3,30.0,3,66.954,0.129,66.82499999999999,0.0,0.0,True,True
20260803T122523Z-delay-30ms-rep-4,30.0,4,65.754,0.16,65.59400000000001,0.0,0.0,True,True
20260803T122531Z-delay-30ms-rep-5,30.0,5,66.252,0.155,66.097,0.0,0.0,True,True
20260803T122538Z-delay-35ms-rep-1,35.0,1,76.498,0.137,76.361,0.0,0.0,True,True
20260803T122545Z-delay-35ms-rep-2,35.0,2,76.355,0.124,76.23100000000001,0.0,0.0,True,True
20260803T122553Z-delay-35ms-rep-3,35.0,3,76.033,0.159,75.874,0.0,0.0,True,True
20260803T122600Z-delay-35ms-rep-4,35.0,4,76.245,0.151,76.09400000000001,0.0,0.0,True,True
20260803T122608Z-delay-35ms-rep-5,35.0,5,76.097,0.128,75.969,0.0,0.0,True,True
