sample_id,schedule,position,delay_ms,repetition,role,seed,ops_rtt_avg_ms,twin_rtt_avg_ms,rtt_residual_ms,ops_packet_loss_percent,twin_packet_loss_percent,ops_route_metric,twin_route_metric,ops_next_hop,twin_next_hop,route_match,operational_unsafe_latency,twin_predicted_safe_latency
abrupt_shift-pos-001-delay-0ms-rep-1,abrupt_shift,1,0.0,1,validation,,0.139,0.167,-0.027999999999999997,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-002-delay-1ms-rep-1,abrupt_shift,2,1.0,1,validation,,5.552,0.14,5.412,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-003-delay-2ms-rep-1,abrupt_shift,3,2.0,1,validation,,7.248,0.152,7.096,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-004-delay-5ms-rep-1,abrupt_shift,4,5.0,1,validation,,12.283,0.147,12.136,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-005-delay-10ms-rep-1,abrupt_shift,5,10.0,1,validation,,24.36,0.158,24.201999999999998,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-006-delay-0ms-rep-2,abrupt_shift,6,0.0,2,validation,,0.149,0.157,-0.008000000000000007,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-007-delay-1ms-rep-2,abrupt_shift,7,1.0,2,validation,,6.216,0.173,6.043,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-008-delay-2ms-rep-2,abrupt_shift,8,2.0,2,validation,,6.867,0.148,6.719,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-009-delay-5ms-rep-2,abrupt_shift,9,5.0,2,validation,,12.547,0.146,12.401,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-010-delay-10ms-rep-2,abrupt_shift,10,10.0,2,validation,,23.887,0.096,23.791,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
