sample_id,schedule,position,delay_ms,repetition,role,seed,ops_link_rtt_avg_ms,twin_link_rtt_avg_ms,link_delta_ms,ops_e2e_rtt_avg_ms,twin_e2e_rtt_avg_ms,corrected_prediction_ms,corrected_residual_ms,operational_unsafe_latency,route_match
abrupt_shift-pos-001-delay-0ms-rep-1,abrupt_shift,1,0.0,1,validation,,0.144,0.121,0.022999999999999993,0.136,0.132,0.155,-0.01899999999999999,False,True
abrupt_shift-pos-002-delay-1ms-rep-1,abrupt_shift,2,1.0,1,validation,,6.695,0.136,6.559,6.029,0.13,6.689,-0.6600000000000001,False,True
abrupt_shift-pos-003-delay-2ms-rep-1,abrupt_shift,3,2.0,1,validation,,7.808,0.132,7.676,7.355,0.143,7.819,-0.4639999999999995,False,True
abrupt_shift-pos-004-delay-5ms-rep-1,abrupt_shift,4,5.0,1,validation,,14.027,0.13,13.896999999999998,13.941,0.154,14.050999999999998,-0.10999999999999766,False,True
abrupt_shift-pos-005-delay-10ms-rep-1,abrupt_shift,5,10.0,1,validation,,26.503,0.126,26.377,26.028,0.152,26.529,-0.5010000000000012,False,True
abrupt_shift-pos-006-delay-0ms-rep-2,abrupt_shift,6,0.0,2,validation,,0.142,0.142,0.0,0.132,0.141,0.141,-0.00899999999999998,False,True
abrupt_shift-pos-007-delay-1ms-rep-2,abrupt_shift,7,1.0,2,validation,,5.961,0.14,5.821000000000001,6.435,0.144,5.965000000000001,0.46999999999999886,False,True
abrupt_shift-pos-008-delay-2ms-rep-2,abrupt_shift,8,2.0,2,validation,,7.92,0.134,7.786,7.534,0.128,7.914,-0.3799999999999999,False,True
abrupt_shift-pos-009-delay-5ms-rep-2,abrupt_shift,9,5.0,2,validation,,13.717,0.129,13.588000000000001,14.005,0.143,13.731000000000002,0.27399999999999913,False,True
abrupt_shift-pos-010-delay-10ms-rep-2,abrupt_shift,10,10.0,2,validation,,27.6,0.136,27.464000000000002,26.899,0.134,27.598000000000003,-0.6990000000000016,False,True
abrupt_shift-pos-011-delay-0ms-rep-3,abrupt_shift,11,0.0,3,validation,,0.122,0.128,-0.006000000000000005,0.132,0.123,0.123,0.009000000000000008,False,True
abrupt_shift-pos-012-delay-1ms-rep-3,abrupt_shift,12,1.0,3,validation,,6.452,0.13,6.322,6.01,0.15,6.472,-0.46200000000000063,False,True
abrupt_shift-pos-013-delay-2ms-rep-3,abrupt_shift,13,2.0,3,validation,,8.018,0.141,7.877000000000001,8.097,0.144,8.021,0.07599999999999874,False,True
abrupt_shift-pos-014-delay-5ms-rep-3,abrupt_shift,14,5.0,3,validation,,13.983,0.121,13.862,14.017,0.138,14.0,0.01699999999999946,False,True
abrupt_shift-pos-015-delay-10ms-rep-3,abrupt_shift,15,10.0,3,validation,,24.682,0.128,24.554,25.304,0.136,24.689999999999998,0.6140000000000008,False,True
abrupt_shift-pos-016-delay-25ms-rep-1,abrupt_shift,16,25.0,1,validation,,58.837,0.134,58.703,62.037,0.158,58.861000000000004,3.175999999999995,True,True
abrupt_shift-pos-017-delay-30ms-rep-1,abrupt_shift,17,30.0,1,validation,,72.04,0.181,71.85900000000001,72.518,0.144,72.00300000000001,0.5149999999999864,True,True
abrupt_shift-pos-018-delay-35ms-rep-1,abrupt_shift,18,35.0,1,validation,,80.451,0.125,80.326,80.91,0.132,80.458,0.4519999999999982,True,True
abrupt_shift-pos-019-delay-40ms-rep-1,abrupt_shift,19,40.0,1,validation,,92.508,0.135,92.37299999999999,93.089,0.148,92.52099999999999,0.568000000000012,True,True
abrupt_shift-pos-020-delay-30ms-rep-2,abrupt_shift,20,30.0,2,validation,,72.403,0.167,72.236,70.498,0.142,72.378,-1.8799999999999955,True,True
abrupt_shift-pos-021-delay-25ms-rep-2,abrupt_shift,21,25.0,2,validation,,64.031,0.131,63.900000000000006,60.184,0.153,64.05300000000001,-3.869000000000014,True,True
abrupt_shift-pos-022-delay-30ms-rep-3,abrupt_shift,22,30.0,3,validation,,71.769,0.129,71.64,70.548,0.134,71.774,-1.225999999999999,True,True
abrupt_shift-pos-023-delay-35ms-rep-2,abrupt_shift,23,35.0,2,validation,,81.848,0.131,81.717,80.582,0.152,81.869,-1.2870000000000061,True,True
abrupt_shift-pos-024-delay-40ms-rep-2,abrupt_shift,24,40.0,2,validation,,89.462,0.13,89.33200000000001,92.355,0.151,89.483,2.872,True,True
abrupt_shift-pos-025-delay-30ms-rep-4,abrupt_shift,25,30.0,4,validation,,70.129,0.121,70.00800000000001,73.091,0.137,70.14500000000001,2.9459999999999837,True,True
abrupt_shift-pos-026-delay-25ms-rep-3,abrupt_shift,26,25.0,3,validation,,62.061,0.135,61.926,62.368,0.131,62.057,0.31099999999999994,True,True
abrupt_shift-pos-027-delay-30ms-rep-5,abrupt_shift,27,30.0,5,validation,,71.761,0.13,71.631,70.534,0.144,71.775,-1.2409999999999997,True,True
abrupt_shift-pos-028-delay-35ms-rep-3,abrupt_shift,28,35.0,3,validation,,82.141,0.126,82.015,81.095,0.144,82.159,-1.0640000000000072,True,True
abrupt_shift-pos-029-delay-40ms-rep-3,abrupt_shift,29,40.0,3,validation,,89.479,0.119,89.36,91.703,0.138,89.498,2.2049999999999983,True,True
abrupt_shift-pos-030-delay-30ms-rep-6,abrupt_shift,30,30.0,6,validation,,72.355,0.131,72.224,70.633,0.164,72.388,-1.7550000000000097,True,True
abrupt_shift-pos-031-delay-10ms-rep-4,abrupt_shift,31,10.0,4,validation,,26.725,0.125,26.6,25.817,0.148,26.748,-0.9310000000000009,False,True
abrupt_shift-pos-032-delay-5ms-rep-4,abrupt_shift,32,5.0,4,validation,,13.976,0.123,13.853000000000002,13.862,0.141,13.994000000000002,-0.13200000000000145,False,True
abrupt_shift-pos-033-delay-2ms-rep-4,abrupt_shift,33,2.0,4,validation,,7.863,0.132,7.731000000000001,7.61,0.145,7.876,-0.266,False,True
abrupt_shift-pos-034-delay-1ms-rep-4,abrupt_shift,34,1.0,4,validation,,6.151,0.133,6.018,6.061,0.143,6.161,-0.09999999999999964,False,True
abrupt_shift-pos-035-delay-0ms-rep-4,abrupt_shift,35,0.0,4,validation,,0.153,0.128,0.024999999999999994,0.152,0.143,0.16799999999999998,-0.015999999999999986,False,True
abrupt_shift-pos-036-delay-10ms-rep-5,abrupt_shift,36,10.0,5,validation,,26.398,0.125,26.273,26.072,0.153,26.426,-0.3539999999999992,False,True
abrupt_shift-pos-037-delay-5ms-rep-5,abrupt_shift,37,5.0,5,validation,,13.706,0.141,13.565,13.781,0.151,13.716,0.06500000000000128,False,True
abrupt_shift-pos-038-delay-2ms-rep-5,abrupt_shift,38,2.0,5,validation,,7.588,0.139,7.449,7.592,0.145,7.593999999999999,-0.0019999999999997797,False,True
abrupt_shift-pos-039-delay-1ms-rep-5,abrupt_shift,39,1.0,5,validation,,6.406,0.149,6.257,6.41,0.135,6.3919999999999995,0.018000000000000682,False,True
abrupt_shift-pos-040-delay-0ms-rep-5,abrupt_shift,40,0.0,5,validation,,0.124,0.144,-0.01999999999999999,0.16,0.138,0.138,0.021999999999999992,False,True
abrupt_shift-pos-041-delay-10ms-rep-6,abrupt_shift,41,10.0,6,validation,,27.093,0.139,26.954,26.021,0.151,27.105,-1.0839999999999996,False,True
abrupt_shift-pos-042-delay-5ms-rep-6,abrupt_shift,42,5.0,6,validation,,13.687,0.127,13.559999999999999,14.216,0.151,13.710999999999999,0.5050000000000008,False,True
abrupt_shift-pos-043-delay-2ms-rep-6,abrupt_shift,43,2.0,6,validation,,7.882,0.12,7.762,7.453,0.147,7.909,-0.4559999999999995,False,True
abrupt_shift-pos-044-delay-1ms-rep-6,abrupt_shift,44,1.0,6,validation,,6.341,0.128,6.213,6.169,0.142,6.355,-0.18600000000000083,False,True
abrupt_shift-pos-045-delay-0ms-rep-6,abrupt_shift,45,0.0,6,validation,,0.126,0.129,-0.0030000000000000027,0.155,0.137,0.137,0.017999999999999988,False,True
calibration_seed77-pos-001-delay-1ms-rep-1,calibration_seed77,1,1.0,1,calibration,77,5.547,0.127,5.42,6.201,0.135,5.555,0.6459999999999999,False,True
calibration_seed77-pos-002-delay-15ms-rep-1,calibration_seed77,2,15.0,1,calibration,77,35.621,0.103,35.518,35.15,0.128,35.646,-0.4960000000000022,False,True
calibration_seed77-pos-003-delay-10ms-rep-1,calibration_seed77,3,10.0,1,calibration,77,23.751,0.119,23.632,23.635,0.129,23.761000000000003,-0.12600000000000122,False,True
calibration_seed77-pos-004-delay-0ms-rep-1,calibration_seed77,4,0.0,1,calibration,77,0.124,0.134,-0.010000000000000009,0.144,0.133,0.133,0.010999999999999982,False,True
calibration_seed77-pos-005-delay-5ms-rep-1,calibration_seed77,5,5.0,1,calibration,77,12.264,0.105,12.158999999999999,12.299,0.113,12.271999999999998,0.027000000000001023,False,True
calibration_seed77-pos-006-delay-35ms-rep-1,calibration_seed77,6,35.0,1,calibration,77,76.965,0.133,76.83200000000001,76.521,0.138,76.97000000000001,-0.4490000000000123,True,True
calibration_seed77-pos-007-delay-20ms-rep-1,calibration_seed77,7,20.0,1,calibration,77,47.642,0.154,47.488,45.932,0.11,47.598,-1.6659999999999968,False,True
calibration_seed77-pos-008-delay-0ms-rep-2,calibration_seed77,8,0.0,2,calibration,77,0.138,0.125,0.013000000000000012,0.138,0.135,0.14800000000000002,-0.010000000000000009,False,True
calibration_seed77-pos-009-delay-1ms-rep-2,calibration_seed77,9,1.0,2,calibration,77,6.208,0.123,6.085,5.949,0.117,6.202,-0.2530000000000001,False,True
calibration_seed77-pos-010-delay-2ms-rep-1,calibration_seed77,10,2.0,1,calibration,77,7.191,0.121,7.07,6.808,0.139,7.2090000000000005,-0.4010000000000007,False,True
calibration_seed77-pos-011-delay-2ms-rep-2,calibration_seed77,11,2.0,2,calibration,77,7.02,0.116,6.904,6.941,0.127,7.031,-0.08999999999999986,False,True
calibration_seed77-pos-012-delay-15ms-rep-2,calibration_seed77,12,15.0,2,calibration,77,35.415,0.114,35.301,34.412,0.136,35.437000000000005,-1.0250000000000057,False,True
calibration_seed77-pos-013-delay-10ms-rep-2,calibration_seed77,13,10.0,2,calibration,77,24.2,0.128,24.072,24.089,0.136,24.208,-0.11899999999999977,False,True
calibration_seed77-pos-014-delay-40ms-rep-1,calibration_seed77,14,40.0,1,calibration,77,86.981,0.123,86.85799999999999,86.934,0.141,86.999,-0.06499999999999773,True,True
calibration_seed77-pos-015-delay-25ms-rep-1,calibration_seed77,15,25.0,1,calibration,77,56.539,0.115,56.424,56.72,0.139,56.563,0.15699999999999648,True,True
calibration_seed77-pos-016-delay-35ms-rep-2,calibration_seed77,16,35.0,2,calibration,77,76.081,0.124,75.95700000000001,76.76,0.142,76.099,0.6610000000000014,True,True
calibration_seed77-pos-017-delay-5ms-rep-2,calibration_seed77,17,5.0,2,calibration,77,12.196,0.097,12.099,12.144,0.144,12.243,-0.0990000000000002,False,True
calibration_seed77-pos-018-delay-30ms-rep-1,calibration_seed77,18,30.0,1,calibration,77,67.38,0.128,67.252,66.968,0.133,67.38499999999999,-0.4169999999999874,True,True
calibration_seed77-pos-019-delay-25ms-rep-2,calibration_seed77,19,25.0,2,calibration,77,57.825,0.114,57.711000000000006,57.044,0.115,57.82600000000001,-0.7820000000000107,True,True
calibration_seed77-pos-020-delay-20ms-rep-2,calibration_seed77,20,20.0,2,calibration,77,46.404,0.118,46.286,46.059,0.118,46.404,-0.34500000000000597,False,True
calibration_seed77-pos-021-delay-40ms-rep-2,calibration_seed77,21,40.0,2,calibration,77,87.351,0.127,87.224,86.947,0.141,87.36500000000001,-0.41800000000000637,True,True
calibration_seed77-pos-022-delay-30ms-rep-2,calibration_seed77,22,30.0,2,calibration,77,66.941,0.125,66.816,66.751,0.136,66.952,-0.2009999999999934,True,True
randomized_seed101-pos-001-delay-15ms-rep-1,randomized_seed101,1,15.0,1,validation,101,34.62,0.123,34.497,39.511,0.126,34.623,4.888000000000005,False,True
randomized_seed101-pos-002-delay-25ms-rep-1,randomized_seed101,2,25.0,1,validation,101,62.902,0.091,62.811,64.124,0.103,62.914,1.2099999999999937,True,True
randomized_seed101-pos-003-delay-0ms-rep-1,randomized_seed101,3,0.0,1,validation,101,0.075,0.084,-0.009000000000000008,0.125,0.121,0.121,0.0040000000000000036,False,True
randomized_seed101-pos-004-delay-10ms-rep-1,randomized_seed101,4,10.0,1,validation,101,26.135,0.095,26.040000000000003,26.64,0.101,26.141000000000002,0.4989999999999988,False,True
randomized_seed101-pos-005-delay-1ms-rep-1,randomized_seed101,5,1.0,1,validation,101,6.347,0.117,6.23,5.575,0.134,6.364000000000001,-0.7890000000000006,False,True
randomized_seed101-pos-006-delay-0ms-rep-2,randomized_seed101,6,0.0,2,validation,101,0.131,0.119,0.01200000000000001,0.129,0.117,0.129,0.0,False,True
randomized_seed101-pos-007-delay-5ms-rep-1,randomized_seed101,7,5.0,1,validation,101,13.285,0.124,13.161,13.646,0.129,13.29,0.35600000000000165,False,True
randomized_seed101-pos-008-delay-35ms-rep-1,randomized_seed101,8,35.0,1,validation,101,81.093,0.117,80.976,84.437,0.137,81.113,3.323999999999998,True,True
randomized_seed101-pos-009-delay-2ms-rep-1,randomized_seed101,9,2.0,1,validation,101,7.685,0.132,7.553,7.239,0.14,7.693,-0.45399999999999974,False,True
randomized_seed101-pos-010-delay-5ms-rep-2,randomized_seed101,10,5.0,2,validation,101,13.85,0.129,13.721,14.227,0.134,13.855,0.3719999999999999,False,True
randomized_seed101-pos-011-delay-35ms-rep-2,randomized_seed101,11,35.0,2,validation,101,82.856,0.125,82.731,84.136,0.152,82.883,1.2530000000000001,True,True
randomized_seed101-pos-012-delay-20ms-rep-1,randomized_seed101,12,20.0,1,validation,101,51.594,0.127,51.467,51.616,0.146,51.613,0.0030000000000001137,True,True
randomized_seed101-pos-013-delay-40ms-rep-1,randomized_seed101,13,40.0,1,validation,101,90.503,0.141,90.362,91.614,0.149,90.511,1.1030000000000086,True,True
randomized_seed101-pos-014-delay-2ms-rep-2,randomized_seed101,14,2.0,2,validation,101,7.968,0.126,7.842,7.845,0.141,7.983,-0.1379999999999999,False,True
randomized_seed101-pos-015-delay-25ms-rep-2,randomized_seed101,15,25.0,2,validation,101,61.58,0.126,61.454,61.72,0.144,61.598,0.12199999999999989,True,True
randomized_seed101-pos-016-delay-15ms-rep-2,randomized_seed101,16,15.0,2,validation,101,38.462,0.14,38.322,38.357,0.147,38.469,-0.11200000000000188,False,True
randomized_seed101-pos-017-delay-20ms-rep-2,randomized_seed101,17,20.0,2,validation,101,51.494,0.151,51.342999999999996,50.951,0.142,51.485,-0.5339999999999989,True,True
randomized_seed101-pos-018-delay-30ms-rep-1,randomized_seed101,18,30.0,1,validation,101,72.819,0.13,72.68900000000001,70.548,0.154,72.843,-2.2950000000000017,True,True
randomized_seed101-pos-019-delay-2ms-rep-3,randomized_seed101,19,2.0,3,validation,101,7.82,0.126,7.694,7.574,0.141,7.835,-0.2610000000000001,False,True
randomized_seed101-pos-020-delay-30ms-rep-2,randomized_seed101,20,30.0,2,validation,101,71.868,0.123,71.74499999999999,73.081,0.139,71.88399999999999,1.197000000000017,True,True
randomized_seed101-pos-021-delay-40ms-rep-2,randomized_seed101,21,40.0,2,validation,101,92.728,0.129,92.59899999999999,92.771,0.146,92.74499999999999,0.02600000000001046,True,True
