test_sequence,sample_id,per_direction_delay_ms,repetition,twin_rtt_avg_ms,ops_rtt_avg_ms,residual_ms,rolling_margin_ms,upper_bound_ms,deploy,operational_unsafe
1,20260803T122249Z-delay-10ms-rep-3,10.0,3,0.131,24.161,24.03,23.354,23.485,True,False
2,20260803T122256Z-delay-10ms-rep-4,10.0,4,0.152,24.225,24.073,23.847,23.999000000000002,True,False
3,20260803T122303Z-delay-10ms-rep-5,10.0,5,0.161,24.096,23.935,24.03,24.191000000000003,True,False
4,20260803T122311Z-delay-15ms-rep-1,15.0,1,0.155,34.635,34.48,24.03,24.185000000000002,True,False
5,20260803T122318Z-delay-15ms-rep-2,15.0,2,0.157,34.833,34.676,24.073,24.23,True,False
6,20260803T122325Z-delay-15ms-rep-3,15.0,3,0.164,35.594,35.43,34.48,34.644,True,False
7,20260803T122333Z-delay-15ms-rep-4,15.0,4,0.167,35.582,35.415,34.676,34.843,True,False
8,20260803T122340Z-delay-15ms-rep-5,15.0,5,0.163,34.857,34.694,35.415,35.577999999999996,True,False
9,20260803T122347Z-delay-20ms-rep-1,20.0,1,0.149,46.893,46.744,35.415,35.564,True,False
10,20260803T122355Z-delay-20ms-rep-2,20.0,2,0.165,47.017,46.852000000000004,35.43,35.595,True,False
11,20260803T122402Z-delay-20ms-rep-3,20.0,3,0.139,45.596,45.456999999999994,46.744,46.883,True,False
12,20260803T122409Z-delay-20ms-rep-4,20.0,4,0.165,47.29,47.125,46.744,46.909,True,False
13,20260803T122417Z-delay-20ms-rep-5,20.0,5,0.149,46.304,46.155,46.852000000000004,47.001000000000005,True,False
14,20260803T122424Z-delay-25ms-rep-1,25.0,1,0.15,55.49,55.34,46.852000000000004,47.002,True,True
15,20260803T122432Z-delay-25ms-rep-2,25.0,2,0.154,58.567,58.413,47.125,47.279,True,True
16,20260803T122439Z-delay-25ms-rep-3,25.0,3,0.16,56.668,56.508,55.34,55.5,False,True
17,20260803T122446Z-delay-25ms-rep-4,25.0,4,0.166,56.999,56.833000000000006,56.508,56.674,False,True
18,20260803T122454Z-delay-25ms-rep-5,25.0,5,0.159,56.28,56.121,56.833000000000006,56.992000000000004,False,True
19,20260803T122501Z-delay-30ms-rep-1,30.0,1,0.165,66.89,66.725,56.833000000000006,56.998000000000005,False,True
20,20260803T122509Z-delay-30ms-rep-2,30.0,2,0.148,66.61,66.462,58.413,58.561,False,True
21,20260803T122516Z-delay-30ms-rep-3,30.0,3,0.129,66.954,66.82499999999999,66.462,66.59100000000001,False,True
22,20260803T122523Z-delay-30ms-rep-4,30.0,4,0.16,65.754,65.59400000000001,66.725,66.88499999999999,False,True
23,20260803T122531Z-delay-30ms-rep-5,30.0,5,0.155,66.252,66.097,66.725,66.88,False,True
24,20260803T122538Z-delay-35ms-rep-1,35.0,1,0.137,76.498,76.361,66.725,66.862,False,True
25,20260803T122545Z-delay-35ms-rep-2,35.0,2,0.124,76.355,76.23100000000001,66.82499999999999,66.94899999999998,False,True
26,20260803T122553Z-delay-35ms-rep-3,35.0,3,0.159,76.033,75.874,76.23100000000001,76.39000000000001,False,True
27,20260803T122600Z-delay-35ms-rep-4,35.0,4,0.151,76.245,76.09400000000001,76.23100000000001,76.382,False,True
28,20260803T122608Z-delay-35ms-rep-5,35.0,5,0.128,76.097,75.969,76.23100000000001,76.35900000000001,False,True
29,20260803T122615Z-delay-40ms-rep-1,40.0,1,0.141,84.911,84.77,76.23100000000001,76.37200000000001,False,True
30,20260803T122622Z-delay-40ms-rep-2,40.0,2,0.165,87.296,87.131,76.361,76.52600000000001,False,True
31,20260803T122630Z-delay-40ms-rep-3,40.0,3,0.157,85.78,85.623,84.77,84.92699999999999,False,True
32,20260803T122637Z-delay-40ms-rep-4,40.0,4,0.153,87.176,87.023,85.623,85.77600000000001,False,True
33,20260803T122644Z-delay-40ms-rep-5,40.0,5,0.149,86.533,86.384,87.023,87.172,False,True
